accident_id,date,time,latitude,longitude,location_name,region,weather,road_surface,light_condition,road_type,junction_type,speed_limit,vehicle_type,number_of_vehicles,number_of_casualties,urban_rural,driver_age,driver_gender,risk_score,severity
ACC-2026-00064,2026-05-18,14:04,28.530163,77.38045,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Daylight,Dual carriageway,T-Junction,80,Motorcycle,2,1,Urban,36,Male,43,Minor
ACC-2026-00065,2025-04-28,02:46,28.457402,77.038243,Expressway Interchange South,Northern Expressway District,Clear,Wet,Darkness: street lights present and lit,Highway,Crossroads,120,Car,2,1,Rural,36,Female,76,Serious
ACC-2026-00066,2025-03-29,17:47,28.610553,77.242191,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,40,Motorcycle,1,1,Urban,49,Female,23,Serious
ACC-2026-00067,2025-11-16,08:09,28.547927,77.088147,Airport Expressway Tollway,Northern Expressway District,Fog,Dry,Daylight,Highway,Crossroads,100,Truck / Heavy Goods,2,2,Rural,48,Female,82,Serious
ACC-2026-00068,2025-10-01,19:44,28.641546,77.202031,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Roundabout,Not at junction,50,Car,2,4,Urban,29,Male,44,Minor
ACC-2026-00069,2025-11-16,02:38,28.547,77.380667,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Dry,Darkness: street lights present and lit,Dual carriageway,T-Junction,80,Car,2,1,Urban,35,Male,67,Serious
ACC-2026-00070,2026-05-14,13:02,28.456358,77.02958,Expressway Interchange South,Northern Expressway District,Clear,Dry,Daylight,Highway,Not at junction,120,Car,1,1,Rural,34,Male,50,Serious
ACC-2026-00071,2025-08-24,09:04,28.650853,77.106269,West Urban Junction 8,Northern Expressway District,Clear,Poor surface,Daylight,T-Junction,Roundabout,60,Truck / Heavy Goods,2,1,Urban,19,Male,58,Serious
ACC-2026-00072,2026-04-17,00:05,28.650335,77.112299,West Urban Junction 8,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,T-Junction,Not at junction,60,Car,2,1,Urban,23,Male,36,Serious
ACC-2026-00073,2025-12-24,08:15,28.524893,77.381918,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Wet,Daylight,Dual carriageway,Crossroads,80,Motorcycle,1,2,Urban,36,Female,94,Fatal
ACC-2026-00074,2025-11-20,17:30,28.560142,77.10879,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Daylight,Highway,Not at junction,100,Car,2,1,Rural,33,Male,62,Serious
ACC-2026-00075,2026-08-18,16:57,28.612392,77.218294,NH-44 Highway Mile 142,Northern Expressway District,Rain,Wet,Daylight,Highway,T-Junction,100,Car,1,1,Rural,31,Female,80,Serious
ACC-2026-00076,2025-06-26,20:28,28.500682,77.289762,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Single carriageway,Not at junction,60,Motorcycle,2,2,Rural,24,Male,70,Serious
ACC-2026-00077,2025-06-03,08:58,28.595507,77.245182,East River Bridge Crossing,Northern Expressway District,Rain,Wet,Daylight,Single carriageway,Crossroads,40,Motorcycle,1,1,Urban,24,Male,70,Serious
ACC-2026-00078,2026-03-10,07:23,28.619308,77.197926,Central Metro Boulevard,Capital Metropolitan Corridor,Storm,Wet,Daylight,Roundabout,Not at junction,50,Truck / Heavy Goods,1,1,Urban,49,Male,70,Serious
ACC-2026-00079,2025-12-11,02:08,28.746302,77.169867,North Ring Junction 2,Capital Metropolitan Corridor,Fog,Wet,Darkness: no street lights,Dual carriageway,Not at junction,80,Motorcycle,2,1,Urban,28,Male,98,Fatal
ACC-2026-00080,2025-08-28,13:51,28.568319,77.09072,Airport Expressway Tollway,Northern Expressway District,Rain,Wet,Daylight,Highway,T-Junction,100,Motorcycle,2,2,Rural,20,Male,98,Fatal
ACC-2026-00081,2025-09-14,20:55,28.602836,77.228578,East River Bridge Crossing,Northern Expressway District,Fog,Icy,Darkness: street lights present and lit,Single carriageway,Crossroads,40,Car,2,3,Urban,57,Male,80,Serious
ACC-2026-00082,2025-01-28,10:32,28.593273,77.255336,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Slip road / Merge ramp,40,Truck / Heavy Goods,3,1,Urban,29,Male,36,Minor
ACC-2026-00083,2026-04-26,07:57,28.52107,77.38247,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Poor surface,Daylight,Dual carriageway,Crossroads,80,Car,2,2,Urban,31,Male,74,Serious
ACC-2026-00084,2026-05-27,11:40,28.502251,77.306556,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,T-Junction,60,Motorcycle,2,1,Rural,30,Male,52,Minor
ACC-2026-00085,2026-06-04,14:55,28.542506,77.096506,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Daylight,Highway,T-Junction,100,Motorcycle,1,1,Rural,35,Male,60,Serious
ACC-2026-00086,2026-07-14,08:53,28.570625,77.099256,Airport Expressway Tollway,Northern Expressway District,Clear,Dry,Daylight,Highway,Crossroads,100,Car,4,1,Rural,46,Female,65,Serious
ACC-2026-00087,2026-07-11,07:48,28.453083,77.037464,Expressway Interchange South,Northern Expressway District,Clear,Dry,Daylight,Highway,Not at junction,120,Car,2,1,Rural,58,Male,51,Serious
ACC-2026-00088,2026-05-25,09:51,28.542312,77.378368,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Wet,Daylight,Dual carriageway,T-Junction,80,Motorcycle,2,1,Urban,36,Male,77,Minor
ACC-2026-00089,2025-12-26,09:39,28.633237,77.134401,West Urban Junction 8,Northern Expressway District,Storm,Dry,Daylight,T-Junction,Crossroads,60,Motorcycle,2,2,Urban,23,Female,70,Serious
ACC-2026-00090,2025-03-10,19:23,28.653484,77.105972,West Urban Junction 8,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,T-Junction,T-Junction,60,Car,1,1,Urban,26,Male,30,Minor
ACC-2026-00091,2026-05-27,07:16,28.635021,77.197937,Central Metro Boulevard,Capital Metropolitan Corridor,Rain,Wet,Daylight,Roundabout,Multiple junction,50,Car,1,1,Urban,33,Male,54,Minor
ACC-2026-00092,2025-03-08,13:57,28.639441,77.212854,Central Metro Boulevard,Capital Metropolitan Corridor,Storm,Wet,Daylight,Roundabout,Roundabout,50,Car,2,1,Urban,44,Male,55,Serious
ACC-2026-00093,2026-01-13,08:39,28.522472,77.387945,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Rain,Wet,Daylight,Dual carriageway,T-Junction,80,Car,2,1,Urban,22,Male,78,Fatal
ACC-2026-00094,2026-07-19,12:49,28.702079,77.114821,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,60,Truck / Heavy Goods,1,1,Rural,58,Male,38,Minor
ACC-2026-00095,2026-07-19,19:39,28.487803,77.30423,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Darkness: street lights present and lit,Single carriageway,Crossroads,60,Bus,3,1,Rural,44,Male,47,Serious
ACC-2026-00096,2026-08-14,18:49,28.747498,77.18417,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Dry,Daylight,Dual carriageway,Not at junction,80,Truck / Heavy Goods,4,1,Urban,26,Male,51,Serious
ACC-2026-00097,2026-03-02,08:21,28.73931,77.190845,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Unknown,Daylight,Dual carriageway,Not at junction,80,Motorcycle,2,2,Urban,26,Male,60,Serious
ACC-2026-00098,2025-05-25,19:24,28.747544,77.193881,North Ring Junction 2,Capital Metropolitan Corridor,Fog,Wet,Darkness: street lights unlit,Dual carriageway,Crossroads,80,Bicycle,1,1,Urban,47,Male,82,Fatal
ACC-2026-00099,2026-02-07,08:13,28.745587,77.166516,North Ring Junction 2,Capital Metropolitan Corridor,Clear,Wet,Daylight,Dual carriageway,Crossroads,80,Truck / Heavy Goods,2,1,Urban,49,Male,69,Minor
ACC-2026-00100,2026-01-10,17:36,28.49084,77.301597,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Crossroads,60,Motorcycle,2,4,Rural,69,Male,59,Minor
ACC-2026-00101,2025-12-14,13:48,28.695072,77.102774,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,60,Motorcycle,2,1,Rural,35,Male,46,Minor
ACC-2026-00102,2025-11-03,15:53,28.50097,77.306262,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,T-Junction,60,Motorcycle,2,4,Rural,38,Female,48,Minor
ACC-2026-00103,2025-09-29,04:46,28.616406,77.199115,NH-44 Highway Mile 142,Northern Expressway District,Rain,Wet,Darkness: no street lights,Highway,Not at junction,100,Van / Light Goods,2,1,Rural,21,Male,98,Fatal
ACC-2026-00104,2025-06-05,08:26,28.508249,77.312616,Industrial Sector 18 Corridor,Northern Expressway District,Fog,Wet,Daylight,Single carriageway,Not at junction,60,Car,1,1,Rural,35,Male,63,Serious
ACC-2026-00105,2026-06-30,09:43,28.632202,77.197268,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Daylight,Roundabout,Not at junction,50,Car,4,1,Urban,35,Male,37,Minor
ACC-2026-00106,2025-10-08,10:57,28.649551,77.133638,West Urban Junction 8,Northern Expressway District,Rain,Wet,Daylight,T-Junction,Not at junction,60,Car,2,1,Urban,27,Male,60,Minor
ACC-2026-00107,2025-10-06,21:47,28.742178,77.166523,North Ring Junction 2,Capital Metropolitan Corridor,Fog,Dry,Darkness: street lights present and lit,Dual carriageway,Not at junction,80,Motorcycle,2,1,Urban,57,Male,77,Minor
ACC-2026-00108,2026-05-03,08:48,28.623535,77.210877,Central Metro Boulevard,Capital Metropolitan Corridor,Fog,Dry,Daylight,Roundabout,T-Junction,50,Van / Light Goods,2,2,Urban,20,Female,39,Serious
ACC-2026-00109,2026-02-11,23:59,28.640202,77.191778,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights unlit,Roundabout,Not at junction,50,Motorcycle,5,1,Urban,47,Female,60,Serious
ACC-2026-00110,2025-04-26,10:41,28.635458,77.191923,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Dry,Daylight,Roundabout,Crossroads,50,Motorcycle,1,1,Urban,28,Male,24,Minor
ACC-2026-00111,2025-04-08,18:30,28.614275,77.225705,East River Bridge Crossing,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,40,Motorcycle,2,1,Urban,27,Male,23,Minor
ACC-2026-00112,2026-04-22,10:43,28.512693,77.311634,Industrial Sector 18 Corridor,Northern Expressway District,Rain,Wet,Daylight,Single carriageway,Crossroads,60,Car,4,1,Rural,29,Female,79,Serious
ACC-2026-00113,2026-07-17,04:48,28.46491,77.029474,Expressway Interchange South,Northern Expressway District,Rain,Wet,Darkness: street lights present and lit,Highway,T-Junction,120,Truck / Heavy Goods,3,1,Rural,30,Female,98,Fatal
ACC-2026-00114,2025-06-18,10:07,28.466008,77.026265,Expressway Interchange South,Northern Expressway District,Fog,Wet,Daylight,Highway,Not at junction,120,Motorcycle,1,1,Rural,35,Male,88,Fatal
ACC-2026-00115,2026-02-10,17:47,28.461849,77.012959,Expressway Interchange South,Northern Expressway District,Clear,Dry,Daylight,Highway,Multiple junction,120,Van / Light Goods,3,1,Rural,27,Male,69,Serious
ACC-2026-00116,2026-01-27,10:24,28.540982,77.395854,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Daylight,Dual carriageway,Not at junction,80,Motorcycle,1,1,Urban,26,Female,40,Serious
ACC-2026-00117,2026-04-20,15:27,28.496378,77.29189,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,Not at junction,60,Car,3,2,Rural,33,Male,55,Serious
ACC-2026-00118,2025-04-14,14:38,28.606242,77.195327,NH-44 Highway Mile 142,Northern Expressway District,Clear,Dry,Daylight,Highway,Crossroads,100,Bicycle,2,1,Rural,60,Male,56,Serious
ACC-2026-00119,2025-11-25,18:42,28.491631,77.294015,Industrial Sector 18 Corridor,Northern Expressway District,Clear,Poor surface,Daylight,Single carriageway,Roundabout,60,Car,3,1,Rural,71,Male,66,Minor
ACC-2026-00120,2025-11-23,14:09,28.625194,77.214132,Central Metro Boulevard,Capital Metropolitan Corridor,Clear,Wet,Daylight,Roundabout,Not at junction,50,Bus,2,2,Urban,60,Male,58,Serious
ACC-2026-00121,2025-09-06,19:41,28.548167,77.401414,Outer Ring Road Junction 14,Capital Metropolitan Corridor,Clear,Dry,Darkness: street lights present and lit,Dual carriageway,Not at junction,80,Bus,2,1,Urban,49,Male,46,Minor
ACC-2026-00122,2025-12-07,07:13,28.473362,77.015119,Expressway Interchange South,Northern Expressway District,Other,Dry,Daylight,Highway,Not at junction,120,Bus,2,1,Rural,47,Male,60,Serious
ACC-2026-00123,2026-01-03,09:32,28.55518,77.108984,Airport Expressway Tollway,Northern Expressway District,Rain,Wet,Daylight,Highway,Not at junction,100,Car,1,1,Rural,33,Female,86,Fatal
ACC-2026-00124,2026-07-21,06:18,28.694986,77.094401,Grand Trunk Road Corridor B,Northern Expressway District,Clear,Dry,Daylight,Single carriageway,T-Junction,60,Truck / Heavy Goods,4,1,Rural,38,Male,61,Serious
ACC-2026-00125,2025-12-27,21:31,28.716607,77.103764,Grand Trunk Road Corridor B,Northern Expressway District,Rain,Dry,Darkness: street lights present and lit,Single carriageway,Roundabout,60,Truck / Heavy Goods,4,1,Rural,45,Male,72,Minor
ACC-2026-00126,2025-01-10,20:23,28.617435,77.214003,NH-44 Highway Mile 142,Northern Expressway District,Rain,Wet,Darkness: no street lights,Highway,Not at junction,100,Motorcycle,2,1,Rural,66,Male,98,Fatal
